Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Issue_Education,Issue_Environment,Issue_Financial,Issue_Foreign_Affairs,Issue_Healthcare,Issue_Military,Issue_Other,Issue_Social,trans_Car,trans_Foot_or_bicycle,trans_Motorcycle_or_truck,trans_Public_or_other,Occ_Hightech,Occ_Industry_or_other,Occ_Public_Sector,Occ_Services_or_Retail,Occ_Student_or_Unemployed
Browns,10,489.8662277,79446.62746,163.2887426,0,486.5407512,1,-1,-1,0.473930918,0.811408684,946.7018044,6.105651413,6.699633109,5.906,4094,16.73488815,423.8075273,5713.022566,52670.25234,-1,236721.9026,20.5865861,88.86966065,18.60128783,26836.50219,80,0,0,658.2212276,7,456.2807558,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Greens,4,360.8052924,33138.45724,120.2684308,0,275.5374541,1,-1,1,0.287888833,0.588230196,946.4391738,8.091034237,35.89991601,6.69,3310,44.82406653,515.1480304,3785.670602,61514.28191,-1,75920.88864,22.6968727,287.5311778,17.27649048,14594.76388,60,0,4,830.7152936,11,679.0566415,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Purples,2,417.8203854,60258.58383,139.2734618,0,432.66379,1,-1,-1,0.312729946,0.552603758,6.724226987,6.351532498,39.72066522,0.631,9369,28.16212694,450.2820071,5227.201914,55686.54711,-1,187197.9552,21.21984937,90.78731838,41.311909,19546.37063,90,2,4,716.100666,13,535.1609612,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Turquoises,9,309.3088993,13823.47898,103.1029664,0,134.074503,1,1,-1,0.124462718,0.102383901,419.5619822,1.441994524,79.82093433,11.691,4309,71.49903364,399.907972,1554.080285,13005.28329,-1,17975.97235,10.32800212,672.5838625,82.17090948,10743.32465,100,1.036057692,0,157.0736744,6,95.330718,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Purples,7,435.0316828,57528.79424,145.0105609,0,396.7214103,1,1,-1,0.034903894,0.555037675,955.0792843,3.359254641,0.386975915,1.4,8600,91.28377158,427.9840093,4823.182121,54443.17511,-1,157387.8774,20.68777439,152.040076,30.38768654,21183.07335,90,1,3,717.470584,15,585.2256692,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Whites,8,480.1677144,52035.80792,160.0559048,1,325.1102043,1,-1,1,0.103605911,0.682163599,984.9799043,6.960170039,79.05905326,5.035,4965,93.0443303,344.1628237,3939.427691,45410.27132,0,105696.645,18.5516259,237.1468875,46.02560587,25787.94857,100,0,0,610.7439085,10,536.9726936,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Reds,9,299.5134205,41556.03194,99.83780683,0,416.2354249,1,1,-1,0.914100795,0.020454498,223.8298897,7.98403621,64.92175329,6.891,5109,43.83595481,460.9960876,5084.346424,58089.52557,1,173251.9289,21.47081944,147.1441749,45.59529845,10077.42548,50,0,2,763.777333,8,614.5146234,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Violets,6,114.9182575,7720.073756,38.30608583,0,201.5364815,1,-1,-0.043189369,0.237863744,0.126347291,34.55833881,6.387318925,81.06532015,7.042,8958,24.13004448,224.8594473,2465.083709,32504.81696,1,40616.95336,14.99531418,406.3258009,45.75700741,1515.662297,60,2,3,463.6128244,12,482.1713474,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Purples,8,269.0548087,32329.5517,89.68493624,1,360.4791736,1,1,-1,0.523658862,0.383956431,63.12429626,7.10505469,73.68860736,1.564,8436,19.00490175,422.3367634,4449.465263,51784.58915,-1,129945.2346,20.55083364,160.4859292,16.84038166,8143.072725,60,0,2,674.1836594,11,516.0653098,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Browns,7,663.0013592,75376.14799,221.0004531,0,341.0678437,1,1,1,0.008449056,0.119552592,858.1109063,3.543997558,36.03371135,1.771,8229,48.50180906,356.2579997,4123.194437,43397.76651,-1,116327.274,18.874798,238.3673231,31.52844158,49072.2007,60,2,3,552.5427491,6,395.60753,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Khakis,2,58.66251726,15878.57353,19.55417242,0,812.0299437,0,1,1,0.88924843,0.326258272,619.4366473,8.169247732,17.10705904,7.158,8842,71.23867352,706.0272406,9532.353918,90901.10311,1,659392.6294,19.21902224,544.836563,5.033074645,411.9198315,80.64226519,1,2,1164.766964,13,896.2789052,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Yellows,7,852.9095003,146339.0727,284.3031668,0,514.7289577,0,1,-1,0.505557983,0.484526027,711.1512437,4.736280453,12.75923636,10.53,3470,28.1711444,343.8107384,5834.911054,49594.96639,0,264945.8999,18.54213414,176.0966935,16.4100264,81122.59381,70,0,2,650.8963656,10,579.9876105,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Pinks,6,924.2559741,215556.1715,308.0853247,0,699.663873,0,-1,1,0.672760036,0.501903811,186.1245898,2.490451694,32.17168418,6.954,3046,60.33929046,645.5675619,8287.773853,74547.52199,0,489529.5351,25.40802161,248.0191105,97.81582183,95234.65263,90,1,4,890.2778713,8,478.6013566,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Khakis,4,182.6099336,55654.46554,60.86997786,0,914.3171641,0,-1,1,0.273392133,0.885181555,833.7510948,4.912686385,20.2896541,6.55,7726,69.29569831,761.1036483,10665.37894,60311.8479,1,835975.8767,27.58810701,666.246778,33.60538378,3776.024183,60,2,4,1252.284991,11,951.7199813,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Browns,8,162.4881497,82707.27229,54.16271657,0,358.6879275,0.841339156,-1,1,0.896746041,0.260806999,268.8838609,7.926938972,34.63427313,6.629,3371,88.76946457,420.8716922,4428.622659,48987.29761,0,128657.0293,20.51515762,174.7480847,76.58963273,2997.762583,100,2,2,631.8413432,10,434.3760549,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Greens,7,49.04267235,4714.264392,16.34755745,0,288.3772947,1,1,1,0.631034599,0.718131763,972.542231,6.586198243,3.201060393,0.512,9488,54.42686104,483.4664027,3850.705752,57936.35884,1,83161.4641,21.98786944,245.933978,52.21797831,293.590192,80,1,1,776.058201,14,624.2014182,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Khakis,5,174.3568248,47384.63675,58.11894159,0,815.3045368,0,-1,1,0.858571208,0.238027263,287.6721616,8.361352021,26.27429885,12.872,3128,53.78067568,667.2181711,9487.48171,85407.84773,0,664721.4876,25.8305666,459.8742631,22.06224953,3445.930313,100,0,1,1077.031523,12,790.0094313,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Purples,8,138.6096855,18466.2069,46.2032285,1,399.6735186,1,1,-1,0.90247693,0.26269207,847.3752991,2.579081815,78.02231917,4.161,5839,46.72044229,434.0431451,4864.821476,52821.45776,1,159738.9214,20.83370214,120.3688446,76.85943216,2190.941552,60,1,0,676.3356682,8,491.4589715,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Purples,9,71.56424362,10450.7897,23.85474787,0,438.1010335,1,-1,1,0.298322184,0.870106804,673.953563,6.157095123,28.95882207,5.786,4214,64.4210963,387.6945497,5156.399434,48835.61393,-1,191932.5155,19.68996063,137.2874418,60.60392868,602.903744,80,0,1,618.2206848,14,450.9709735,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Purples,7,605.8821223,71090.43669,201.9607074,1,352.0013254,1,1,1,0.917578756,0.734777463,457.0634032,9.601961989,43.47391566,6.552,3448,94.41078184,396.4508963,4312.915046,48178.58793,1,123904.9331,19.91107471,186.0069014,35.07253232,41000.08806,60,0,1,619.7992804,11,455.5866823,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Purples,1,850.4296757,118660.3892,283.4765586,1,418.589776,1,-1,-1,0.263987139,0.923296387,648.4064707,8.220853589,34.77597388,4.477,5523,73.45386171,419.5513421,5025.000445,51294.3004,0,175217.4006,20.48295248,120.7599963,93.89197985,80652.43581,80,0,1,650.1979428,12,461.4855147,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Pinks,1,126.7723951,15496.56832,135.1076081,1,366.7178878,1,1,1,0.05988,0.133445189,732.4554771,5.290781659,20.8886937,6.849,3151,79.09673788,413.5374432,4494.253764,51929.63282,0,134482.0092,20.33562006,166.0699532,60.54129493,1837.950816,90,2,3,683.0388197,10,548.3666641,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Browns,4,149.3839809,14971.58852,49.79466031,1,300.6665459,1,-1,-1,0.086647699,0.268778409,261.9567404,1.374112256,89.87478362,4.942,5058,57.9593454,387.4547933,3781.575046,44692.54676,0,90400.37184,19.6838714,261.6579983,16.5180129,2539.302855,70,2,3,565.4027514,7,373.2535656,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Purples,2,676.7381622,96044.74817,225.5793874,0,425.7691684,1,1,-1,0.842264527,0.316564564,815.5012985,5.981919987,8.134315559,3.27,6730,79.43927899,430.418769,5118.529222,52927.02366,0,181279.3847,20.74653631,102.2977022,27.34626224,51121.6394,90,0,0,674.6374236,11,489.3672293,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Purples,7,243.4078367,80.86255278,81.13594557,1,465.2753399,1,1,1,0.501433134,0.150105668,577.230074,2.185881094,62.43203178,5.485,4515,82.75040286,479.5968004,5611.947,58712.22705,-1,216481.142,21.89969864,57.21881528,34.88384287,6674.177609,80,1,1,748.4864422,13,540.6435758,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Purples,6,481.8013013,64645.09706,160.6004338,1,402.5213105,1,-1,1,0.886773549,0.731294324,177.7948195,2.415921432,97.94279716,0.534,9466,26.0234796,491.4717765,5008.156658,57363.07996,1,162023.4054,22.16916274,98.70238903,37.95525557,25963.09976,100,0,1,726.1088073,16,487.0641548,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Khakis,9,284.9549933,86235.93579,94.98499778,0,907.8900648,0,1,1,0.819441018,0.120121539,224.49644,4.36706376,43.49586777,7.402,8598,49.16796549,890.7798972,10860.46044,107813.1441,1,824264.3698,29.84593603,702.7819882,80.18711745,9127.1348,90,2,2,1351.547898,12,918.1139676,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Reds,2,910.4301319,185340.7384,303.4767106,0,610.7247506,0,1,1,0.646725007,0.041478298,158.0675393,1.672139075,4.224769771,5.504,6496,62.47112758,504.462932,7116.17337,64894.71063,-1,372984.721,22.46025227,160.0270099,55.78260156,92411.59061,50,0,3,822.8142292,10,615.4502306,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Turquoises,5,232.3754417,64779.81215,77.45848055,1,836.3165878,0,-1,1,0.259464314,0.809541067,111.0991619,2.069087308,9.93171779,10.381,5619,7.819936378,910.4518449,10184.06957,109516.219,1,699425.435,30.17369459,713.2769361,89.8733384,6087.27469,60,2,1,1391.357655,11,976.6386717,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Khakis,8,908.2780827,297609.4181,302.7593609,1,982.98998,0,1,-1,0.820237515,0.708465128,576.6514849,3.154414529,94.0234645,10.921,5079,5.297562014,964.4071934,11758.71419,116090.123,0,966269.3008,31.05490611,816.371711,13.65797252,91975.98998,70,0,1,1449.454992,13,966.3790394,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Purples,3,90.24152414,10444.75603,30.08050805,1,347.2267163,1,-1,1,0.997203895,0.052776073,386.8750103,0.704677885,99.6637333,3.498,6502,53.22890873,480.6327464,4433.532655,54323.78259,0,120566.3925,21.92333794,167.744219,82.13762699,25440.20458,60,1,2,684.0379847,11,433.4916827,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Oranges,8,50.17166953,9297.277464,16.72388984,1,555.9279301,0,1,1,0.137745728,0.186023336,793.3894489,7.215044366,25.62844357,6.418,5582,97.7252637,299.0699359,6157.419173,48656.44667,0,309055.8635,17.2936386,265.5412062,75.25259471,306.4123813,30,2,2,656.931322,9,664.3511734,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Purples,2,87.6509551,13107.79208,29.21698503,0,448.6360267,1,-1,1,0.875558627,0.151177604,760.5838133,0.120352423,46.64789254,0.122,9878,52.76969322,452.3294789,5391.019225,56521.28116,-1,201274.2845,21.26803891,87.57724355,85.38513945,892.8491994,70,2,2,728.223403,10,552.5265386,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Violets,4,387.7680966,12998.51357,129.2560322,0,100.564077,1,-1,1,0.255918562,0.011008915,632.3491693,6.868543236,45.94847613,7.235,8765,6.164902099,8.862575561,1023.365921,9108.303489,1,10113.13357,2.97700782,666.7127364,76.13364344,16846.37789,90,2,2,163.4611634,15,290.8568755,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Purples,8,298.4123543,37560.69167,99.47078477,1,377.6052613,1,1,-1,0.238174643,0.425629884,196.0607541,5.053927153,85.14533665,0.329,9671,25.44546383,437.7458435,4651.5443,52698.14388,1,142585.7333,20.92237662,137.7159241,5.369963613,10003.90781,100,2,1,676.4967192,16,489.5298679,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Khakis,1,115.0291537,8731.343712,38.34305122,0,227.7164554,1,1,-1,0.919796657,0.299893444,49.58941392,9.682636571,10.23187716,6.941,9059,99.66796492,227.5072802,2732.179114,25168.38522,0,51854.78405,15.08334446,530.9252494,70.2025099,1518.532628,60,0,1,294.8460904,10,134.6357853,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Purples,9,41.55732377,5647.188524,13.85244126,0,407.6673865,1,1,1,0.799241905,0.359996826,19.38456134,3.117951457,62.69604256,1.242,8758,20.94126379,396.7896715,4870.253208,49978.19916,0,166192.698,19.9195801,138.7436504,47.84877014,215.7425701,90,2,4,643.6313532,12,491.5078204,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Khakis,9,1026.832954,107168.6176,125.2248511,1,855.809503,0,1,1,0.419244718,0.563017688,895.4201539,9.153891038,96.76307924,8.102,7898,22.67061358,564.0537106,9686.202451,75274.60778,-1,732409.9054,23.74981496,403.1181456,14.88662991,15816.48819,70,1,3,932.3934068,13,678.3282339,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Pinks,3,36.66005908,3508.134411,12.22001969,1,287.0809131,1,1,1,0.199525005,0.517461484,244.409566,1.186988468,48.58913347,2.451,7549,33.29343128,428.7201199,3728.249371,50249.89273,0,82415.45067,20.70555771,225.303777,1.31849132,171.548901,90,2,1,655.2498431,8,481.3872877,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Whites,8,180.7652289,30701.62061,60.25507629,0,509.527537,0,1,-1,0.032691227,0.108070416,322.2575481,1.180213261,51.18727903,4.074,5926,78.0542409,450.6232568,5996.521883,56947.59691,1,259618.3109,21.22788866,59.60026769,12.33325617,3700.929294,100,2,2,746.3781554,11,531.9899231,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Greens,10,134.1780983,18437.16066,59.9287028,0,307.6515892,1,1,-1,0.950308026,0.916425107,825.9433229,3.176431567,92.34894968,6.167,3833,60.89319834,524.3443732,4125.204639,62190.19555,0,94649.50036,22.89856705,246.8077657,27.27469278,3661.378122,90,1,2,829.0352834,11,652.7203772,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Khakis,7,510.0433161,551.2734688,170.0144387,1,3.242509713,1,-1,1,0.719319481,0.01521516,498.6886468,4.078073835,25.26237541,8.057,7943,34.3729018,143.1752843,318.7756657,11777.22013,-1,10.51386924,11.9655875,782.6699866,27.92428299,29084.9238,60,0,1,135.0097183,12,11.65542292,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Purples,4,272.1682402,42297.01958,90.72274674,0,376.6322787,1,1,-1,0.344667507,0.987875684,260.7295739,4.768588056,68.29985708,0.024,9976,33.42422538,370.4568233,5403.14237,49137.18579,-1,217363.7667,19.24725496,133.9138532,79.19353305,8331.339524,100,2,5,631.6606259,13,499.0244219,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Khakis,4,592.2481638,179988.8913,197.4160546,1,911.7236775,0,-1,-1,0.103064626,0.361974542,464.7209994,7.293910892,96.34777571,8.75,7250,78.08855372,633.3693613,10383.9755,88261.92599,-1,831240.0641,25.16683058,632.0024359,71.08279665,39180.51467,100,1,1,1141.489023,16,960.5684595,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Khakis,4,221.8490144,73643.45238,73.94967148,1,995.8590878,0,-1,-1,0.734893537,0.166673378,212.8184666,5.197295498,45.67557478,9.002,6998,21.9520058,929.5389672,11817.66881,112821.6638,-1,991735.3228,30.4883415,787.7256333,20.72854547,5552.503583,90,1,2,1404.191456,14,936.0409544,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Greens,9,425.906301,42015.10022,130.5358354,0,295.946081,1,-1,-1,0.111067946,0.327409328,188.8755262,2.357773329,49.26047586,3.727,6273,39.85907272,515.3065008,3990.073812,61307.40097,-1,87584.08286,22.70036345,256.3584872,2.592747426,20307.09958,80,1,3,820.5834485,11,654.4259794,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Purples,1,146.8344488,19933.2687,132.5261165,1,407.2600577,1,1,1,0.311965829,0.587831349,479.2082312,1.633184198,51.19550442,6.347,3653,14.84369545,398.4505777,4869.501733,51092.27467,-1,165860.7546,19.96122686,141.7785434,17.16824318,2454.539855,100,2,1,666.5664707,13,534.46989,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Purples,3,310.1065252,48864.18019,103.3688417,0,472.7167237,1,1,1,0.246290617,0.460757835,483.6595936,6.545453456,71.43047815,2.333,7667,66.98343386,397.2233053,5521.613848,49224.25495,1,223461.1009,19.93046174,139.8680615,61.99816309,10798.48628,70,1,3,609.3423475,9,409.1394008,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Greens,8,351.4619412,37025.20176,117.1539804,1,316.0387861,1,-1,-1,0.62944143,0.828032854,246.8142784,5.957870618,49.89556372,6.629,3371,29.57223302,480.811279,4122.010419,58850.89389,0,99880.51432,21.92740931,260.3018014,89.37387292,13852.20911,70,2,4,790.7108168,9,652.7535744,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Khakis,9,238.2789139,2943.364621,103.7086356,0,28.38109482,1,1,-1,0.354420738,0.558300236,318.5181774,5.747944999,43.45835121,10.817,5183,70.80906925,83.64955231,451.1100528,8854.993908,1,805.486543,9.146012919,760.2917191,97.27904594,10869.18974,60,1,4,114.6564264,9,73.0674396,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Purples,10,332.208613,41421.62857,110.7362043,0,374.0567849,1,-1,1,0.680142008,0.068062479,759.6581036,9.767366794,83.23731215,1.882,8118,87.1056895,473.1874807,4686.942811,54967.36747,1,139918.4784,21.75287293,138.2631965,59.8937531,12383.24316,70,1,1,697.0440561,11,467.53929,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Purples,10,42.30244088,5362.353283,14.10081363,1,380.2867995,1,1,1,0.477052119,0.985191368,531.4999323,6.7913807,91.69328965,6.939,3061,53.07626473,384.311199,4571.490393,50575.65862,0,144618.0498,29.12044616,185.1931426,38.2535198,222.9337585,90,1,3,674.4715223,11,581.1255264,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pinks,1,136.9382395,13686.44043,45.64607982,0,299.8382441,1,-1,-1,0.907596818,0.769540101,755.6155976,9.711250707,65.15958046,6.005,3995,76.4563872,384.1616937,3766.705829,48974.80283,0,89902.97265,19.60004321,242.0665618,29.36839345,2139.210683,70,1,1,661.4818962,6,571.5050949,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Purples,3,668.924827,87700.80102,222.9749423,1,393.3213306,1,1,1,0.009194501,0.402063526,460.3841379,6.02768806,22.73671518,3.831,6169,31.60088519,408.6372572,4750.487821,50312.91309,0,154701.6691,20.21477819,142.583084,5.631882208,49950.79986,80,2,1,644.8332709,13,475.4552127,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Khakis,4,335.2574226,25085.90148,111.7524742,0,224.4773698,1,1,-1,0.829402673,0.716867441,480.9787739,4.235926515,68.10667627,8.462,7538,0.041168183,368.0865188,2980.946736,35145.75227,-1,50390.08956,19.18558101,517.83906,25.36570735,12610.36796,90,0,1,394.6542012,13,81.85719448,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Yellows,8,893.3299879,151976.8236,297.7766626,0,510.3718411,0,1,1,0.884984576,0.500152813,540.6529156,6.441866509,92.82887501,9.515,4485,16.80596627,346.5802455,5796.878902,45585.88037,1,260479.4162,18.6166658,183.8269491,65.18362383,88978.71747,80,1,3,562.5928709,11,399.2669315,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Purples,7,214.7933821,80.86255278,71.59779404,1,423.2582672,1,-1,1,0.263701057,0.189432232,652.7036878,2.760409119,93.6593028,6.542,3458,90.4450038,481.0122541,5194.607181,57314.02874,-1,179147.5608,21.93199157,79.28208977,2.33705889,5207.841905,100,1,3,728.2294178,12,505.9851248,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
