Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Violets,8.0,381.33273880215796,89813.4489017789,Financial,127.110912934053,No,,No,Female,After_16:00,0.8073969271499659,0.918516966048628,238.747259136289,9.88390682265162,32.1665147319436,6.789,9211.0,42.445692117326004,837.808044777361,8741.37046332558,91932.6103960193,No,499248.848704621,,400.59034165667197,,16294.2950998624,60.0,30-45,2.0,1105.03661835081,12.0,Public_or_other,Hightech,560.703668626957,1.0,Yes
Whites,5.0,832.825190667106,142491.03112739,Social,277.608396889035,Yes,513.2806958441739,No,Female,After_16:00,0.9598003069404509,0.28823103453032695,110.14044494368099,9.24426847137511,33.175702393055,3.622,6378.0,48.010528716258705,465.603706600493,6064.014371642729,57809.80667476809,Maybe,263457.07272628,21.5778522239933,39.6555617639051,29.1487386683002,77354.0304201892,70.0,45_and_up,3.0,727.6700645982891,8.0,Foot_or_bicycle,Public_Sector,514.597318146854,1.0,No
Greys,1.0,427.35855738635297,95580.2052037355,Military,142.452852462118,No,670.960275991335,No,Female,By_16:00,0.527615379542112,0.197047881083563,820.298695936799,8.67597084259614,20.775036886334398,3.63,8370.0,16.9329070718959,568.71559993542,7847.0339597842,68618.5132562198,Yes,450187.691958369,23.8477588031962,184.490062584488,33.4281881339848,20445.268027056,30.0,30-45,2.0,833.612688617827,9.0,Public_or_other,Hightech,509.345242153631,0.0,No
Purples,10.0,284.678527953132,34466.9483591128,Social,94.8928426510439,No,363.21968439559197,Yes,Male,After_16:00,0.0848726381082088,0.9338882274460051,64.323601545766,2.28700520470738,63.788881874643295,1.187,8813.0,46.91944904625421,448.038265148214,,52422.6069891955,Maybe,131928.539132433,21.1669143983769,153.870875876281,56.1010048957542,9109.54442904683,70.0,30-45,2.0,665.7479536515029,13.0,Car,Hightech,452.38309315710296,0.0,No
Khakis,1.0,645.5723908970459,37201.3731341277,Environment,215.19079696568198,,172.876227323329,Yes,Male,By_16:00,0.342865901533514,0.985771612264216,936.806214042008,8.326099247206,43.003914551809395,9.396,6604.0,,285.890787607059,2300.5438484474103,26578.2592618704,No,29886.189973547403,16.9083052848906,608.746514664601,71.2049348512664,46532.269895691104,90.0,45_and_up,0.0,291.287166118014,12.0,Car,Hightech,33.395669078656,2.0,No
Purples,9.0,303.621924281124,34274.4523806914,Environment,101.207308093708,Yes,338.655903672061,Yes,Female,By_16:00,0.412342900410295,0.241233297390863,101.830699713901,9.377896341029551,30.7232384104282,2.517,7483.0,34.7125353291631,404.65215020627403,4195.863337133161,49632.163721205,Yes,114687.82109194,20.1159675433789,187.411699585332,11.512504867277999,10354.1265196684,90.0,45_and_up,2.0,648.114293863246,13.0,Motorcycle_or_truck,Public_Sector,500.12353662078596,1.0,No
Blues,10.0,1749.55023407163,421498.191759367,Healthcare,583.183411357209,Yes,722.754083108157,No,Female,By_16:00,0.861652335617691,0.0598478035535663,279.663721565157,1.30434453487396,12.631437508389402,5.35,8650.0,4.83551137149334,69.9936896562576,7367.52821039408,21800.7069369778,No,522373.46464951296,8.36622314167257,585.917062008082,18.965847976505803,340696.074693589,80.0,45_and_up,1.0,220.36521490663299,11.0,Car,Public_Sector,170.190971810371,0.0,No
Yellows,8.0,1002.1883955294198,90496.9266654917,Social,334.062798509806,Yes,270.897948137842,Yes,Male,After_16:00,0.8985794633626941,0.7518032623920591,141.728819580749,5.20918722264469,22.4899236811325,7.005,6995.0,66.73908636439589,323.07354154041303,3355.12656445924,39416.8015299259,Maybe,73385.6983052928,17.9742466195502,309.72945734135203,4.651431506499651,111942.01614671301,70.0,45_and_up,0.0,512.7614841207991,13.0,Car,Student_or_Unemployed,389.811003841285,1.0,No
Turquoises,8.0,28.523214965868302,758.1438424261299,Social,9.507738321956099,Yes,79.73966223653409,Yes,Female,After_16:00,0.8921244801022109,0.397206597961485,736.884217243642,8.75970309833065,38.560116710141294,7.2860000000000005,8714.0,89.7243707207963,28.9118048747013,855.220232114743,4499.286008552171,Maybe,6358.41373359654,5.37696985993983,783.407426935684,33.8731759460643,109.904826320749,70.0,45_and_up,1.0,52.0547506229494,11.0,Motorcycle_or_truck,Public_Sector,36.1203200241296,0.0,Yes
Khakis,5.0,329.401180855681,14469.1957357682,Environment,109.80039361856,Yes,131.77726653725202,Yes,Female,After_16:00,0.8354248944669961,0.8686302197165792,773.775373585522,1.04190795216709,19.1842109896243,10.524000000000001,5476.0,64.9722952162847,138.30917107407,1594.3910075206602,14354.4723624701,Maybe,17365.2479760299,11.7604919571449,687.647399078744,47.213343670591705,12175.9268324093,90.0,30-45,4.0,160.471744651067,15.0,Motorcycle_or_truck,Services_or_Retail,45.6315280613574,1.0,No
Greys,5.0,569.994698532038,114895.439453852,Military,189.998232844013,No,604.718463608977,No,Female,After_16:00,0.647128099109977,0.17216467112302802,680.9426089748739,2.34756699297577,74.220264935866,4.154,7846.0,65.4185730032623,613.696798736724,7274.578233563209,70926.14728305269,No,365684.42022960103,24.772904527663396,154.58874620177798,11.214693286456198,36299.326716691605,30.0,30-45,1.0,863.8900413709531,8.0,Foot_or_bicycle,Services_or_Retail,502.18215229400903,0.0,Yes
Khakis,8.0,132.432640396866,35110.537746930604,Environment,44.144213465621995,No,795.359912217564,No,Male,After_16:00,0.0251812625210732,0.38991125160828205,992.0449594501409,6.23998084105551,92.31130690313879,9.286,6714.0,87.33800053596501,589.329729904421,9132.25858198448,76424.99605789929,Yes,632597.389962732,24.276114390577803,359.83676026828596,66.5112712187693,2002.8557959640302,90.0,30-45,1.0,952.4870776541479,13.0,Foot_or_bicycle,Student_or_Unemployed,685.108659036826,0.0,No
Greys,9.0,671.900112372207,95014.03019221891,Military,223.966704124069,No,424.232836589785,Yes,Female,After_16:00,0.7349271443672479,0.14327388885431,954.6457778196781,0.352907164487988,71.0276337573305,8.135,3865.0,93.3102646842599,410.055218076391,5062.43880205063,51213.5448313828,Yes,179973.499641015,20.2498201986188,118.3388570979,60.43799063190821,50395.051260322405,30.0,45_and_up,4.0,654.8897008678421,6.0,Public_or_other,Industry_or_other,486.833441880224,0.0,Yes
Purples,2.0,320.41084915972,42290.3985457247,Education,106.80361638657301,Yes,395.964106614663,Yes,Male,After_16:00,0.6021069774869829,0.861319756135345,766.7306633666161,8.15193097107112,25.511571741662898,2.967,7033.0,9.56633754540235,414.129281604355,4787.89962935534,52604.0493521096,No,156787.573727148,20.350166623503497,145.309105547792,35.44498551636929,11523.816089636899,100.0,45_and_up,1.0,689.319655655645,13.0,Public_or_other,Student_or_Unemployed,554.013783100519,2.0,No
Purples,8.0,394.898258774501,61037.7794185505,Healthcare,131.632752924834,Yes,463.69750736281304,Yes,Female,After_16:00,0.748206380521879,0.905023619066924,513.973401859403,5.565034977626059,47.4975524703041,0.750999999999999,9249.0,57.0929263252765,541.187914439158,5719.35090250645,64134.075615627306,Yes,215015.378334486,23.263445884889002,83.8019883630425,1.89717633184046,17468.8143954952,80.0,Below_30,5.0,815.095065803846,13.0,Car,Public_Sector,563.312384144645,0.0,Yes
Whites,1.0,652.341640353311,94795.26020485109,Healthcare,217.447213451104,No,435.94607951215403,Yes,Female,By_16:00,0.6192591120488941,0.488060028292239,152.350764721632,9.61440193001181,72.046876186505,2.958,7042.0,3.7813672330230497,430.09609406139,5219.65298324432,52707.089525471296,No,190048.984242017,20.738758257460603,98.47205888977942,9.002902754582461,47510.737851100996,80.0,30-45,3.0,667.383671929369,,Car,Student_or_Unemployed,473.40515864580397,0.0,No
Whites,2.0,826.454236476657,127613.909087172,Education,275.484745492219,Yes,463.234030832303,Yes,Male,By_16:00,0.8645100849680601,0.45821262546815,486.46272323094297,3.23189809452742,68.74675906728949,1.212,8788.0,32.3520984034985,467.665174537299,5567.67065739763,55835.7698221507,No,214585.767321143,21.6255676119102,64.12518315142201,87.4289640923962,76177.32974440491,100.0,Below_30,3.0,696.517219623704,11.0,Foot_or_bicycle,Public_Sector,458.59031891380897,2.0,Yes
Violets,6.0,246.414331832824,69840.7169751311,Financial,82.1381106109413,No,850.283948043819,No,Female,After_16:00,0.31488724611699603,0.0145542991813272,587.436401983723,3.5381580330431497,49.448591098189404,8.017999999999999,7982.0,40.641336352564394,948.775708962007,10400.3908983622,108017.88525440199,Yes,722982.792300983,30.80220298878,629.1681955356299,16.363034350797502,6838.807325346171,60.0,Below_30,1.0,1322.8613463635902,8.0,Car,Public_Sector,,0.0,No
Browns,1.0,198.61430326439898,33464.3284172406,Education,66.20476775479979,Yes,505.467046439635,No,Female,After_16:00,0.224439279641956,0.10461918357759699,736.1136444378641,5.577708326745781,9.21987490728498,3.1839999999999997,,24.9786641681567,472.88829962369795,6000.44706364374,57196.851563742304,No,255496.93503640802,21.745995024916603,42.0054865569198,33.9642546372488,4459.27604122177,100.0,Below_30,1.0,710.3385178786099,9.0,Car,Student_or_Unemployed,468.384687146636,1.0,No
Blues,1.0,1950.6806992962802,439357.86427819706,Environment,650.226899765427,Yes,675.699305022135,No,Male,By_16:00,0.26100554363802103,0.984404939925298,687.978769652545,9.09676884999499,32.3855331400409,10.571,3429.0,35.683322278782704,877.1812571212649,8511.35556446388,90244.26587019119,Yes,456569.55080739706,29.617245940857895,434.996733422547,81.5422242740169,423455.24807832396,90.0,45_and_up,1.0,1043.6173470225199,11.0,Motorcycle_or_truck,Student_or_Unemployed,373.168570222333,1.0,No
Khakis,3.0,421.23407538293196,24508.0438316362,Environment,140.411358460977,No,174.54459596619702,Yes,Female,After_16:00,0.5984588349238039,0.107576872222126,928.730105981231,9.642544386442749,57.752897450700395,7.834,8166.0,12.298405030742302,289.429902564734,2324.3057647914397,29827.6008267857,No,30465.8159810031,17.0126394943505,514.873797241378,93.17271108739081,19865.760943318,90.0,Below_30,,358.505512995785,15.0,Motorcycle_or_truck,Industry_or_other,161.128282181808,0.0,No
Whites,8.0,529.6858875532361,91411.3278372781,Education,176.56196251774503,No,517.72945052132,No,Male,By_16:00,0.775278670713305,0.12415544735267801,500.479724025354,4.61495010647923,62.2561718570068,5.815,4185.0,55.23166519124061,378.614414916306,5934.52333504581,48980.498050446105,Yes,268043.783937108,19.458016726180198,141.241400978726,36.94089772179721,31360.6885706354,100.0,Below_30,4.0,607.52470539592,11.0,Foot_or_bicycle,Industry_or_other,429.997573838224,,Yes
Reds,5.0,951.7833902071519,188677.57167998602,Other,317.26113006905103,No,594.707494230136,No,Female,By_16:00,0.191987070254982,0.310203429777175,391.832401510328,5.549973247107119,35.8824541326612,7.231,4769.0,19.7417600313202,458.670551480977,6864.4160452633205,59164.7407454516,No,353677.00369348796,21.4165952354938,109.905509768943,89.7419278509915,100981.88578276,50.0,45_and_up,0.0,740.993141952873,7.0,Foot_or_bicycle,Student_or_Unemployed,537.437792393961,1.0,Yes
Browns,8.0,110.11707678264099,10871.866605646,Social,36.7056922608803,No,296.19020745817403,Yes,Female,By_16:00,0.26536893169395603,0.0871318390127271,598.136266926304,3.32449827576056,40.3404159238562,2.8960000000000004,7104.0,23.6712283920497,361.21131742689596,3684.3247094355297,42940.351991651296,Maybe,87728.638994116,19.0055601713524,269.32874706116297,0.907394592650235,1394.01353661133,70.0,Below_30,3.0,550.539925358516,7.0,Car,Industry_or_other,391.661437856985,3.0,No
Oranges,10.0,330.902623622927,28429.758460517798,Military,110.30087454097601,Yes,257.74735312689097,Yes,Female,By_16:00,0.35309479641728103,0.6271615002769979,135.67886129021602,5.95176529604942,75.25852322578429,4.715,7285.0,62.1821364853531,432.119612605731,3441.71275648037,50928.365798527695,No,66433.6980439184,20.7874869237657,252.436861384585,64.6417990559712,12286.583799045,30.0,45_and_up,2.0,675.053947242891,5.0,Public_or_other,Student_or_Unemployed,520.743121170089,1.0,No
Greens,6.0,,33813.6395159037,Social,114.97551075561701,Yes,294.094275325947,Yes,Female,After_16:00,0.601976543664932,0.49650985212065296,401.558783138171,0.891658694017678,69.6616373024881,4.185,5815.0,9.75864834617823,542.687399379479,4026.3175520184204,63332.6098323746,Yes,86491.44277949371,23.2956519414993,257.495868674041,62.5680614262819,13344.3435842706,70.0,45_and_up,4.0,842.132765267065,9.0,Motorcycle_or_truck,Hightech,648.609356585879,0.0,Yes
Khakis,3.0,972.9698744452521,670.325377802854,Financial,324.32329148175097,No,2.06684316362327,Yes,Male,By_16:00,0.674231625394896,0.798349240794778,652.363553410396,1.68880177894607,66.30251149181281,8.4,7600.0,84.539486723952,5.741129862144589,32.1506913605219,560.561533993303,No,4.27184066301625,2.39606549621345,859.8616754393249,63.3407304063439,105519.920689038,,30-45,2.0,6.81141448012159,12.0,Car,Public_Sector,2.87542657565827,1.0,No
Khakis,8.0,363.14250903147,120785.051276775,Environment,121.04750301049,Yes,997.831828602924,No,Female,After_16:00,0.306121830362827,0.708945491118357,464.35001562349504,6.5414967527613,51.184236840345,8.802,7198.0,19.576667086221303,843.544405302964,11665.407096635201,106129.295718051,No,995668.3581730559,29.0438359261129,749.5744868054021,67.6842824090272,14783.5454880851,90.0,Below_30,2.0,1330.3340651887,13.0,Motorcycle_or_truck,Student_or_Unemployed,,1.0,Yes
Khakis,8.0,204.471820760517,4149.93681078703,Financial,68.157273586839,Yes,60.88765868105929,Yes,Female,By_16:00,0.7318331627175211,0.945155007997528,587.697997223586,4.782247401308269,71.10871518962091,7.757000000000001,8243.0,15.4109235154465,152.061472530477,912.999531871547,16391.7077947353,Maybe,3707.30697966118,,666.609556380375,36.489538918249295,4723.57121637806,60.0,Below_30,1.0,212.328869291604,8.0,Public_or_other,Services_or_Retail,138.769556292138,1.0,Yes
Whites,5.0,561.463091442579,89518.1095189908,Environment,187.154363814193,No,478.31163374776804,Yes,Female,After_16:00,0.406680475221947,0.879555594408885,373.37652919813996,7.89839637931436,98.3963443664834,3.906,6094.0,48.001837846822994,480.196171446791,5743.50868037126,58186.3063193962,No,228782.01897845897,21.913378823147998,29.987766210519,67.0576873002574,35223.9102585095,90.0,45_and_up,1.0,733.036300936472,10.0,Car,Public_Sector,506.057166519166,1.0,No
Oranges,5.0,191.077780385794,23689.7360190168,Other,63.6925934619312,No,371.93863103056196,Yes,Male,After_16:00,0.528929689433426,0.24204037943854897,998.856900958344,6.87979438342154,25.205956143327104,7.108,4892.0,8.542757830582559,281.538311371801,4282.462933049221,43188.6876353085,No,138338.34525288802,16.779103413824,281.781375227047,49.79364110622561,4130.43905536877,50.0,30-45,2.0,602.375430251695,11.0,Car,Student_or_Unemployed,623.594173828037,1.0,No
Khakis,9.0,146.682716340452,48541.5509277825,Education,48.8942387801507,No,992.786719638812,No,Male,By_16:00,0.16243893723003602,0.8068275102414191,892.177792266011,2.2996514220722,89.7751216543838,12.058,3942.0,34.218574548140204,971.095802960917,11870.05880231,117453.98427435699,Maybe,985625.4706911921,31.1624100955128,842.594135491084,33.2554092863575,2449.5408246705397,100.0,Below_30,4.0,1470.85067296835,16.0,Car,Public_Sector,995.171556679294,,Yes
Oranges,9.0,438.29595219944804,81080.15971550009,Military,146.098650733149,No,554.9685730061519,No,Male,After_16:00,0.0048670950345695,0.255776895442978,407.552933320403,0.0586522207595408,,2.377,9623.0,40.9393213223666,252.681695112498,6055.04912028651,41396.5734404147,No,307990.117024484,15.8959647430566,253.58184424617298,41.965768276713796,21500.9143967799,30.0,Below_30,2.0,538.292384865131,7.0,Foot_or_bicycle,Student_or_Unemployed,510.76400392653505,2.0,Yes
Reds,3.0,510.15044401601,70842.71372003849,Other,170.050148005337,No,416.598953608763,Yes,Female,By_16:00,0.076034075813368,0.6045136563479899,552.75615863502,3.82855978328735,92.2912987880409,5.416,6584.0,34.9050360266119,405.73862366912203,4977.466783425871,,Yes,173554.688147916,20.1429546906387,132.14548709677499,40.300187002867496,29097.1029846423,50.0,Below_30,4.0,676.958509704041,9.0,Car,Student_or_Unemployed,540.267706081911,2.0,No
Browns,5.0,278.55136945837603,45797.0908537259,Education,92.85045648612551,Yes,493.234956368462,Yes,Female,After_16:00,0.565091258846223,0.395424959948286,86.57557959668341,7.0889512845315,65.1645217789337,2.122,7878.0,15.6339450739324,425.871746538831,5784.09305676228,52889.632912427696,Yes,243280.722183799,20.6366602564182,87.66563393948591,41.8620888143778,8724.057726168001,100.0,Below_30,3.0,659.453696457824,10.0,Motorcycle_or_truck,Student_or_Unemployed,453.691257872061,3.0,Yes
Violets,1.0,1013.59846599967,51729.11292782769,Social,337.866155333223,No,153.10534100939898,Yes,Female,After_16:00,0.298302733805031,0.0491203877609223,604.2518462054429,8.17418095190078,21.607879595830997,10.741,5259.0,24.028870812617196,235.57129404921199,2002.1959981924201,27855.1484214962,Maybe,23441.2454456044,15.3483319630901,489.181426985545,4.65457048267126,114501.405074987,70.0,45_and_up,3.0,366.599787884349,11.0,Foot_or_bicycle,Public_Sector,,0.0,No
Blues,10.0,1131.9222225204699,101033.652011556,Education,377.30740750682196,Yes,267.775426618755,Yes,Female,After_16:00,0.102241823682562,0.47000254713930195,623.674772446975,7.219053921289741,43.20705237332729,7.87,6130.0,68.6836438253522,795.19907059148,4268.15240737051,78261.3697478082,Maybe,71703.6791008562,28.1992742919296,380.54119177065104,0.689562154002488,142748.187167026,100.0,30-45,2.0,961.875442019664,13.0,Car,Industry_or_other,438.837471650913,0.0,
Violets,,44.9340075930859,1899.7845197245301,Environment,14.978002531028599,No,126.83830943337799,Yes,Female,By_16:00,0.991343178320676,0.16768588824197597,625.9307982400061,0.8022519107908009,26.2809903360903,6.047999999999999,9952.0,74.6007570996881,398.75164012143097,2065.88637457664,43968.4172629075,No,16087.9567399174,,392.769233378573,40.5764164868742,249.318562350529,90.0,30-45,3.0,587.0393242879641,15.0,Car,Hightech,430.95803447067703,0.0,No
Purples,2.0,255.29241076992997,34921.3261573733,Environment,85.09747025664329,No,410.368557984802,Yes,Male,By_16:00,0.41367386234924197,0.23683393211104,78.8544102106243,3.20803366368636,0.100148911587894,4.438,5562.0,4.53498873393983,373.844497286082,4851.37457442019,48170.7439354601,Maybe,168402.353382526,19.335058760864502,155.031724099829,9.46458955295384,7336.676914336941,90.0,45_and_up,4.0,622.864700460995,14.0,Public_or_other,Industry_or_other,490.73559421008304,0.0,No
Whites,1.0,897.945080071869,155903.617070668,Financial,299.31502669062303,,520.867992477412,No,Female,After_16:00,0.952956401277333,0.23957177670672503,916.581330820918,2.27514089085162,83.048206451349,1.113,8887.0,38.1143231177703,416.787384980105,6042.25469473434,52656.9512241789,No,271303.46558745,20.4153712917523,96.99254473350521,7.575869606807831,,60.0,45_and_up,,654.569457765802,6.0,Motorcycle_or_truck,Hightech,454.748024071932,2.0,Yes
Greens,7.0,314.170227540425,25654.0688566473,Environment,104.723409180142,Yes,244.96976423407003,Yes,Female,By_16:00,0.23227772349491702,0.642379138851538,553.7968822754921,0.12985113309696303,90.10440667625521,,8340.0,94.2540051182732,491.928035165262,3433.55371267122,57860.16795695599,No,60010.185388895705,22.179450740838103,283.492354591146,38.281363202258895,11081.715839491499,90.0,Below_30,2.0,779.002624414662,11.0,Car,Student_or_Unemployed,623.5408326850389,0.0,Yes
Purples,4.0,402.77239317007894,55729.644772262196,Education,134.257464390026,No,415.09531723587503,Yes,Male,After_16:00,0.0231269057840109,0.7454280157107859,688.2540141232311,1.93733288673684,26.9589068833739,0.772,9228.0,36.7930732434615,376.970715147044,4904.89460265284,48861.2030188646,Maybe,172304.122391152,19.4157337009716,149.61890728182502,9.89485736936331,18169.3242088292,,30-45,5.0,633.97720609704,13.0,Public_or_other,Student_or_Unemployed,506.388061482226,4.0,No
Reds,2.0,273.248535790941,37386.0043900507,Foreign_Affairs,91.0828452636471,Yes,410.461534022501,Yes,Female,After_16:00,0.701257007895038,0.633945924928412,36.7184518836439,6.7897139955312005,11.9953801389784,8.63,3370.0,63.65479142405089,,5043.42362973367,58054.38643338111,Maybe,168478.670912105,21.665736653858104,129.22399510215098,75.6615074817091,8397.16754658513,40.0,45_and_up,3.0,757.5144222605439,6.0,Foot_or_bicycle,Public_Sector,588.009077158797,0.0,No
Khakis,9.0,789.709146972606,248639.125168672,Healthcare,263.236382324202,No,944.54696183466,No,Female,By_16:00,0.353324864292517,0.853140464052558,,3.27346130274236,45.9942159010097,8.277000000000001,7723.0,35.700802644714706,743.217170820571,10931.9039599877,96296.0739164917,Yes,892168.963111087,27.2620096621759,647.781205276979,58.72487565502521,69566.6293614576,80.0,30-45,0.0,1215.1197564362599,10.0,Foot_or_bicycle,Student_or_Unemployed,903.539213028555,0.0,No
Greys,9.0,617.69844485644,125315.054858932,Foreign_Affairs,205.899481618813,Yes,608.6224883796971,No,Male,After_16:00,0.203741760225967,0.29748414969071696,824.396251002327,2.0158311817795,24.761108867824102,4.777,7223.0,43.2969662593678,572.841416114607,7231.9077160261795,67621.7938274765,Maybe,370421.333361494,23.9341057095227,130.804619340098,56.8344408879057,42610.4960125148,40.0,45_and_up,5.0,825.2868762944439,10.0,Car,Services_or_Retail,,1.0,No
Pinks,1.0,491.32162923619103,115704.019850719,Financial,163.773876412064,No,706.486421311792,No,Female,After_16:00,0.558388248784468,0.687856270000339,110.669150715694,5.56147868745029,37.758830585517,4.4830000000000005,5517.0,90.818844968453,625.787627279167,8316.43946767625,73200.6453842964,No,499123.06349794206,25.0157475858541,242.32551909494202,81.4974250271916,26995.656471446,60.0,Below_30,6.0,875.756768414224,7.0,Public_or_other,Public_Sector,483.798523463588,0.0,No
